	Smoothed Temp = 94.00, 
2017-05-02T01:11:53-04:00, 	Raw gas reading:,722,	Smoothed gas reading:,721,	Smoothed Temp = 94.00, 
2017-05-02T01:11:53-04:00, 	Raw gas reading:,720,	Smoothed gas reading:,721,	Smoothed Temp = 93.00, 
2017-05-02T01:11:53-04:00, 	Raw gas reading:,720,	Smoothed gas reading:,721,	Smoothed Temp = 93.00, 
2017-05-02T01:11:54-04:00, 	Raw gas reading:,723,	Smoothed gas reading:,721,	Smoothed Temp = 93.00, 
2017-05-02T01:11:54-04:00, 	Raw gas reading:,722,	Smoothed gas reading:,721,	Smoothed Temp = 93.00, 
2017-05-02T01:11:54-04:00, 	Raw gas reading:,721,	Smoothed gas reading:,721,	Smoothed Temp = 93.00, 
2017-05-02T01:11:54-04:00, 	Raw gas reading:,722,	Smoothed gas reading:,721,	Smoothed Temp = 93.00, 
2017-05-02T01:11:54-04:00, 	Raw gas reading:,722,	Smoothed gas reading:,722,	Smoothed Temp = 93.00, 
2017-05-02T01:11:54-04:00, 	Raw gas reading:,723,	Smoothed gas reading:,722,	Smoothed Temp = 93.00, 
2017-05-02T01:11:55-04:00, 	Raw gas reading:,721,	Smoothed gas reading:,721,	Smoothed Temp = 93.00, 
2017-05-02T01:11:55-04:00, 	Raw gas reading:,721,	Smoothed gas reading:,721,	Smoothed Temp = 93.00, 
2017-05-02T01:11:55-04:00, 	Raw gas reading:,722,	Smoothed gas reading:,721,	Smoothed Temp = 93.00, 
2017-05-02T01:11:55-04:00, 	Raw gas reading:,721,	Smoothed gas reading:,721,	Smoothed Temp = 93.00, 
2017-05-02T01:11:55-04:00, 	Raw gas reading:,719,	Smoothed gas reading:,721,	Smoothed Temp = 93.00, 
2017-05-02T01:11:55-04:00, 	Raw gas reading:,721,	Smoothed gas reading:,721,	Smoothed Temp = 93.00, 
2017-05-02T01:11:56-04:00, 	Raw gas reading:,720,	Smoothed gas reading:,720,	Smoothed Temp = 93.00, 
2017-05-02T01:11:56-04:00, 	Raw gas reading:,719,	Smoothed gas reading:,720,	Smoothed Temp = 93.00, 
2017-05-02T01:11:56-04:00, 	Raw gas reading:,717,	Smoothed gas reading:,719,	Smoothed Temp = 93.00, 
