	Smoothed Temp = 91.00, 
2017-05-01T23:01:42-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,511,	Smoothed Temp = 91.00, 
2017-05-01T23:01:42-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,511,	Smoothed Temp = 91.00, 
2017-05-01T23:01:42-04:00, 	Raw gas reading:,513,	Smoothed gas reading:,511,	Smoothed Temp = 91.00, 
2017-05-01T23:01:43-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:43-04:00, 	Raw gas reading:,513,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:43-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:43-04:00, 	Raw gas reading:,513,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:43-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:43-04:00, 	Raw gas reading:,511,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:44-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:44-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:44-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:44-04:00, 	Raw gas reading:,511,	Smoothed gas reading:,511,	Smoothed Temp = 91.00, 
2017-05-01T23:01:44-04:00, 	Raw gas reading:,510,	Smoothed gas reading:,511,	Smoothed Temp = 91.00, 
2017-05-01T23:01:45-04:00, 	Raw gas reading:,510,	Smoothed gas reading:,511,	Smoothed Temp = 91.00, 
2017-05-01T23:01:45-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,511,	Smoothed Temp = 91.00, 
2017-05-01T23:01:45-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,511,	Smoothed Temp = 91.00, 
2017-05-01T23:01:45-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,511,	Smoothed Temp = 91.00, 
2017-05-01T23:01:45-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:45-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:46-04:00, 	Raw gas reading:,513,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:46-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:46-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:46-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:46-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:46-04:00, 	Raw gas reading:,511,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:47-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:47-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:47-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:47-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:47-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:48-04:00, 	Raw gas reading:,511,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:48-04:00, 	Raw gas reading:,511,	Smoothed gas reading:,511,	Smoothed Temp = 91.00, 
2017-05-01T23:01:48-04:00, 	Raw gas reading:,511,	Smoothed gas reading:,511,	Smoothed Temp = 91.00, 
2017-05-01T23:01:48-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,511,	Smoothed Temp = 91.00, 
2017-05-01T23:01:48-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,511,	Smoothed Temp = 91.00, 
2017-05-01T23:01:48-04:00, 	Raw gas reading:,511,	Smoothed gas reading:,511,	Smoothed Temp = 91.00, 
2017-05-01T23:01:49-04:00, 	Raw gas reading:,511,	Smoothed gas reading:,511,	Smoothed Temp = 91.00, 
2017-05-01T23:01:49-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,511,	Smoothed Temp = 91.00, 
2017-05-01T23:01:49-04:00, 	Raw gas reading:,510,	Smoothed gas reading:,511,	Smoothed Temp = 91.00, 
2017-05-01T23:01:49-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,511,	Smoothed Temp = 91.00, 
2017-05-01T23:01:49-04:00, 	Raw gas reading:,513,	Smoothed gas reading:,511,	Smoothed Temp = 91.00, 
2017-05-01T23:01:49-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:50-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:50-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:50-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:50-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:50-04:00, 	Raw gas reading:,511,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:51-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:51-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:51-04:00, 	Raw gas reading:,513,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:51-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:51-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:51-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:52-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:52-04:00, 	Raw gas reading:,511,	Smoothed gas reading:,512,	Smoothed Temp = 91.00, 
2017-05-01T23:01:52-04:00, 	Raw gas reading:,511,	Smoothed gas reading:,511,	Smoothed Temp = 91.00, 
2017-05-01T23:01:52-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,511,	Smoothed Temp = 91.00, 
2017-05-01T23:01:52-04:00, 	Raw gas reading:,512,	Smoothed gas reading:,511,	Smoothed Temp = 91.00, 
2017-05-01T23:01:52-04:00, 	Raw gas reading:,511,	Smoothed gas reading:,511,	Smoothed Temp = 91.00, 
